Star name,radius,mass,Distance data
SDSS J000013.54+255418.6 [de],0.99,48,46.1
2MASS J08283419-1309198,,,
2MASS J00040288-6410358,1.63,19,192
LHS 102BC,,,
2MASS J00242463-0158201,1.09,79,37.7
2MASS J00250365+4759191AB,,,143
2MASS J00274197+0503417,1.44,31,236
2MASS J00275592+2219328,,,46.9
2MASSW J0030300-145033,0.98,54,87.2
2MASS J00332386-1521309 [de],1.43,29,131
2MASS J00345157+0523050,0.94,42,31
2MASS 0036+1821,0.94,42,28.6
2MASSW J0045214+163445,1.62,23,57
WISEP J004701.06+680352.1 [fr],1.3,12,40
2MASS J00501994-3322402 [de],0.94,40,34
2MASS J00034227-2822410,,,
2MASS J00584253-0651239 [de],1.43,29,96
CFBDS J005910.90–011401.3,,23,30
2MASSI J0103320+193536,0.98,52,70
SDSSp J010752.33+004156.1 [de],0.98,52,51
2MASSI J0117474-340325 [de],1.62,20,163
2MASS J01415823-4633574 [de],1.61,20,130
SDSS J015141.69+124429.6,0.97,47,70
